wach_nr,wach_name,wach_typ,ff_nr,adresse,plz,ortsteil,bezirk,stadt,telefon_bf,telefon_ff,stand,eb_kurz,inspire_id,lat,lon
1100,FW-MITTE (LRW),BF,-,Voltairestraße 2,10179,Mitte,Mitte,Berlin,+49 30 387 1100 105,-,18.09.2024,EB E 1,FW_Mitte_LRW,52.51691404,13.414667
1110,FF-MITTE,FF,-,Linienstraße 128 - 129,10115,Mitte,Mitte,Berlin,+49 30 387 1130 105,-,18.09.2024,EB E 1,FW_Mitte,52.52658504,13.389256
1200,FW-FRIEDRICHSHAIN,BF,1201,Rüdersdorfer Straße 57,10243,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,+49 30 387 1200 105,+49 30 387 1200 131,18.09.2024,EB E 1,FW_Friedrichshain,52.51164004,13.444627
1204,RTW-FRIEDRICHSHAIN (KRH),RW,-,Landsberger Allee 49,10249,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,+49 30 387 1205 205,-,18.09.2024,EB E 1,RW_KH_Friedrichshain,52.52556104,13.441425
1300,FW-PRENZLAUER BERG,BF,-,Oderberger Straße 24 - 25,10435,Prenzlauer Berg,Pankow,Berlin,+49 30 387 1300 105,-,18.09.2024,EB E 2,FW_Prenzlauer_Berg,52.53991004,13.406671
1310,FF-PRENZLAUER BERG,FF,-,Schieritzstraße 24,10409,Prenzlauer Berg,Pankow,Berlin,+49 30 387 1310 105,-,18.09.2024,EB E 2,FF_Prenzlauer_Berg,52.54521604,13.440606
1400,FW-MOABIT,BF,1401,Jagowstraße 31,10555,Moabit,Mitte,Berlin,+49 30 387 1400 105,+49 30 387 1400 131,18.09.2024,EB E 1,FW_Moabit,52.52267004,13.333697
1500,FW-URBAN,BF,1501,Wilmsstraße 19 - 20,10961,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,+49 30 387 1500 105,+49 30 387 1500 132,18.09.2024,EB E 1,FW_Urban,52.49552004,13.403235
1600,FW-KREUZBERG,BF,1601,Wiener Straße 64,10999,Kreuzberg,Friedrichshain-Kreuzberg,Berlin,+49 30 387 1600 105,+49 30 387 1600 105,18.09.2024,EB E 1,FW_Kreuzberg,52.49863404,13.429183
1700,FW-TIERGARTEN,BF,-,Elisabeth-Abegg-Straße 2,10557,Moabit,Mitte,Berlin,+49 30 387 1700 105,-,18.09.2024,EB E 1,FW_Tiergarten,52.52174104,13.36617
1704,RTW-BW (KRH),RW,-,Scharnhorststraße 13,10115,Mitte,Mitte,Berlin,+49 30 387 1705 105,-,18.09.2024,EB E 1,RW_Bundeswehrkrankenhaus,52.53416504,13.371582
2100,FW-SCHILLERPARK,BF,-,Edinburger Straße 7,13349,Wedding,Reinickendorf,Berlin,+49 30 387 2100 105,-,18.09.2024,EB E 1,FW_Schillerpark,52.55372604,13.351958
2200,FW-WITTENAU,BF,2201,Roedernallee 55,13437,Reinickendorf,Reinickendorf,Berlin,+49 30 387 2200 105,+49 30 387 2200 131,18.09.2024,EB E 2,FW_Wittenau,52.58734504,13.340855
2300,FW-HERMSDORF,BF,2301,Heinsestraße 24,13467,Hermsdorf,Reinickendorf,Berlin,+49 30 387 2300 105,+49 30 387 2300 131,18.09.2024,EB E 2,FW_Hermsdorf,52.61538004,13.308773
2320,FF-FROHNAU,FF,-,Senheimer Straße 69,13465,Frohnau,Reinickendorf,Berlin,+49 30 387 2320 105,-,18.09.2024,EB E 2,FF_Frohnau,52.64530004,13.2927
2400,FW-TEGEL,BF,2401,Berliner Straße 16,13507,Tegel,Reinickendorf,Berlin,+49 30 387 2400 105,+49 30 387 2400 131,18.09.2024,EB E 2,FW_Tegel,52.58659404,13.286173
2410,FF-HEILIGENSEE,FF,-,Alt-Heiligensee 68,13503,Heiligensee,Reinickendorf,Berlin,+49 30 387 2410 105,-,18.09.2024,EB E 2,FF_Heiligensee,52.60669004,13.21129
